,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
165,688385.SH,20240110,33.49,34.1,32.69,33.55,33.42,0.13,0.389,53715.02,180381.094
166,688385.SH,20240109,34.1,34.61,33.01,33.42,33.94,-0.52,-1.5321,86394.58,292324.487
167,688385.SH,20240108,35.58,35.6,33.86,33.94,35.67,-1.73,-4.85,74880.89,257538.799
168,688385.SH,20240105,36.48,36.78,35.4,35.67,36.66,-0.99,-2.7005,49928.66,179696.837
169,688385.SH,20240104,37.35,37.5,36.41,36.66,37.38,-0.72,-1.9262,47978.4,176789.025
170,688385.SH,20240103,37.57,38.5,37.19,37.38,37.6,-0.22,-0.5851,58891.58,222012.032
171,688385.SH,20240102,38.9,39.13,37.58,37.6,38.63,-1.03,-2.6663,56806.87,215283.271
172,688385.SH,20231229,38.12,38.87,38.0,38.63,38.11,0.52,1.3645,64869.07,250243.868
173,688385.SH,20231228,37.1,38.64,36.9,38.11,37.29,0.82,2.199,86094.95,326945.927
174,688385.SH,20231227,37.0,37.46,36.9,37.29,37.14,0.15,0.4039,36222.17,134831.439
175,688385.SH,20231226,38.21,38.21,36.51,37.14,38.1,-0.96,-2.5197,46699.12,172475.819
176,688385.SH,20231225,37.55,38.62,37.55,38.1,37.56,0.54,1.4377,46109.87,176167.411
177,688385.SH,20231222,38.47,38.59,37.15,37.56,37.79,-0.23,-0.6086,50470.14,190529.607
178,688385.SH,20231221,37.05,38.38,37.0,37.79,37.15,0.64,1.7227,55064.06,208094.49
179,688385.SH,20231220,39.0,39.17,37.12,37.15,38.99,-1.84,-4.7192,73534.38,277491.835
180,688385.SH,20231219,39.76,40.19,38.5,38.99,39.87,-0.88,-2.2072,68980.73,269959.677
181,688385.SH,20231218,41.2,41.3,39.76,39.87,41.28,-1.41,-3.4157,44334.02,178210.278
182,688385.SH,20231215,42.12,42.53,41.2,41.28,42.01,-0.73,-1.7377,36475.13,151791.759
183,688385.SH,20231214,41.89,42.83,41.89,42.01,41.8,0.21,0.5024,33530.83,141802.265
184,688385.SH,20231213,42.61,43.27,41.8,41.8,42.53,-0.73,-1.7164,40832.85,173018.528
185,688385.SH,20231212,43.21,43.68,42.38,42.53,43.24,-0.71,-1.642,50894.45,218048.659
186,688385.SH,20231211,42.38,43.37,41.73,43.24,42.4,0.84,1.9811,79346.68,338731.68
